L2_arb_ipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipa,syl,cons,son,cont,strid,lat,delrel,nas,LAR,sg,cg,voi,PHAR,radical,COR,ant,distr,dental,LAB,round,labiodental,DOR,hi,lo,back,tense,TR,atr,rtr
b,-,+,-,-,-,-,-,-,0,-,-,+,0,-,0,-,-,-,+,-,-,0,-,-,-,-,-,-,-
f,-,+,-,+,-,-,+,-,0,-,-,-,0,-,0,-,-,-,+,-,+,0,-,-,-,-,-,-,-
m,-,+,+,-,-,-,-,+,0,-,-,+,0,-,0,-,-,-,+,-,-,0,-,-,-,-,-,-,-
w,-,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,+,+,-,+,+,-,+,+,-,-,-
θ,-,+,-,+,-,-,+,-,0,-,-,-,0,-,+,+,+,+,0,-,-,0,-,-,-,-,-,-,-
ð,-,+,-,+,-,-,-,-,0,-,-,+,0,-,+,+,+,+,0,-,-,0,-,-,-,-,-,-,-
ðˤ,-,+,-,+,-,-,-,-,0,-,-,+,+,+,+,+,+,+,+,+,-,0,-,-,-,-,+,-,+
t,-,+,-,-,-,-,-,-,0,-,-,-,0,-,+,+,-,-,0,-,-,0,-,-,-,-,-,-,-
t̪,-,+,-,-,-,-,-,-,0,-,-,-,0,-,+,+,-,+,0,-,-,0,-,-,-,-,-,-,-
tˤ,-,+,-,-,-,-,-,-,0,-,-,-,+,+,+,+,-,-,+,+,-,0,-,-,-,-,+,-,+
d,-,+,-,-,-,-,-,-,0,-,-,+,0,-,+,+,-,-,0,-,-,0,-,-,-,-,-,-,-
d̪,-,+,-,-,-,-,-,-,0,-,-,+,0,-,+,+,-,+,0,-,-,0,-,-,-,-,-,-,-
dˤ,-,+,-,-,-,-,-,-,0,-,-,+,+,+,+,+,-,-,+,+,-,0,-,-,-,-,+,-,+
s,-,+,-,+,+,-,-,-,0,-,-,-,0,-,+,+,-,-,0,-,-,0,-,-,-,-,-,-,-
z,-,+,-,+,+,-,-,-,0,-,-,+,0,-,+,+,-,-,0,-,-,0,-,-,-,-,-,-,-
sˤ,-,+,-,+,+,-,-,-,0,-,-,-,+,+,+,+,-,-,+,+,-,0,-,-,-,-,+,-,+
n,-,+,+,-,-,-,-,+,0,-,-,+,0,-,+,+,-,-,0,-,-,0,-,-,-,-,-,-,-
l,-,+,+,+,-,+,-,-,0,-,-,+,0,-,+,+,-,-,0,-,-,+,-,-,-,-,-,-,-
lˤ,-,+,+,+,-,+,-,-,0,-,-,+,+,+,+,+,-,-,0,-,-,+,-,-,-,-,+,-,+
r,-,+,+,+,-,-,-,-,0,-,-,+,0,-,+,+,-,-,0,-,-,0,-,-,-,-,+,-,-
rˤ,,,,,-,-,-,-,0,-,-,+,0,-,+,+,-,-,0,-,-,0,-,-,-,-,+,-,+
d͡ʒ,-,+,-,-,+,-,+,-,0,-,-,+,0,-,+,-,+,-,0,-,-,0,-,-,-,-,0,-,-
ʃ,-,+,-,+,+,-,+,-,0,-,-,-,0,-,+,-,+,-,0,-,-,0,-,-,-,-,0,-,-
j,-,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,+,-,-,+,0,-,-
k,-,+,-,-,-,-,-,-,0,-,-,-,0,-,0,-,-,-,0,-,-,+,+,-,-,-,0,-,-
q,-,+,-,-,-,-,-,-,0,-,-,-,0,-,0,-,-,-,0,-,-,+,-,-,+,-,+,-,+
χ,-,+,-,+,-,-,+,-,0,-,-,-,0,-,0,-,-,-,0,-,-,+,-,-,+,-,0,-,-
ʁ,-,+,-,+,-,-,+,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,-,-,+,-,0,-,-
ʔ,-,+,-,-,-,-,-,-,+,-,+,-,0,-,0,-,-,-,0,-,-,0,-,-,-,-,0,-,-
ħ,-,+,-,+,-,-,+,-,0,-,-,-,+,+,0,-,-,-,0,-,-,+,-,+,+,-,0,-,-
ʕ,-,+,-,+,-,-,-,-,0,-,-,+,+,+,0,-,-,-,0,-,-,+,-,+,+,-,0,-,-
h,-,+,-,+,-,-,+,-,+,+,-,-,0,-,0,-,-,-,0,-,-,0,-,-,-,-,0,-,-
iː,+,-,+,+,-,-,+,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,+,-,-,+,+,+,-
i,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,+,-,-,+,+,+,-
iʶ,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,+,-,-,+,+,-,+
uː,+,-,+,+,-,-,+,-,0,-,-,+,0,-,0,-,-,-,+,+,-,+,+,-,+,+,0,-,-
u,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,+,+,-,+,+,-,+,+,0,-,-
uʶ,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,+,+,-,+,+,-,+,+,+,-,+
ɑː,+,-,+,+,-,-,+,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,-,+,+,-,0,-,-
a,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,-,+,-,-,0,-,-
aʶ,+,-,+,+,-,-,-,-,0,-,-,+,0,-,0,-,-,-,0,-,-,+,-,+,-,-,+,-,+
